TypeAdapterStore,android.arch.persistence.room.solver.TypeAdapterStore,androidx.room.solver.TypeAdapterStore
BoxedBooleanToBoxedIntConverter,android.arch.persistence.room.solver.types.BoxedBooleanToBoxedIntConverter,androidx.room.solver.types.BoxedBooleanToBoxedIntConverter
BoxedPrimitiveColumnTypeAdapter,android.arch.persistence.room.solver.types.BoxedPrimitiveColumnTypeAdapter,androidx.room.solver.types.BoxedPrimitiveColumnTypeAdapter
ByteArrayColumnTypeAdapter,android.arch.persistence.room.solver.types.ByteArrayColumnTypeAdapter,androidx.room.solver.types.ByteArrayColumnTypeAdapter
ColumnTypeAdapter,android.arch.persistence.room.solver.types.ColumnTypeAdapter,androidx.room.solver.types.ColumnTypeAdapter
CompositeAdapter,android.arch.persistence.room.solver.types.CompositeAdapter,androidx.room.solver.types.CompositeAdapter
CompositeTypeConverter,android.arch.persistence.room.solver.types.CompositeTypeConverter,androidx.room.solver.types.CompositeTypeConverter
CursorValueReader,android.arch.persistence.room.solver.types.CursorValueReader,androidx.room.solver.types.CursorValueReader
CustomTypeConverterWrapper,android.arch.persistence.room.solver.types.CustomTypeConverterWrapper,androidx.room.solver.types.CustomTypeConverterWrapper
NoOpConverter,android.arch.persistence.room.solver.types.NoOpConverter,androidx.room.solver.types.NoOpConverter
PrimitiveBooleanToIntConverter,android.arch.persistence.room.solver.types.PrimitiveBooleanToIntConverter,androidx.room.solver.types.PrimitiveBooleanToIntConverter
PrimitiveColumnTypeAdapter,android.arch.persistence.room.solver.types.PrimitiveColumnTypeAdapter,androidx.room.solver.types.PrimitiveColumnTypeAdapter
StatementValueBinder,android.arch.persistence.room.solver.types.StatementValueBinder,androidx.room.solver.types.StatementValueBinder
StringColumnTypeAdapter,android.arch.persistence.room.solver.types.StringColumnTypeAdapter,androidx.room.solver.types.StringColumnTypeAdapter
TypeConverter,android.arch.persistence.room.solver.types.TypeConverter,androidx.room.solver.types.TypeConverter
MigrationTestHelper,android.arch.persistence.room.testing.MigrationTestHelper,androidx.room.testing.MigrationTestHelper
Transaction,android.arch.persistence.room.Transaction,androidx.room.Transaction
TypeConverter,android.arch.persistence.room.TypeConverter,androidx.room.TypeConverter
TypeConverters,android.arch.persistence.room.TypeConverters,androidx.room.TypeConverters
Update,android.arch.persistence.room.Update,androidx.room.Update
StringUtil,android.arch.persistence.room.util.StringUtil,androidx.room.util.StringUtil
TableInfo,android.arch.persistence.room.util.TableInfo,androidx.room.util.TableInfo
